CUSTOMERNAME,SALES,PHONE,CITY,STATE,COUNTRY,POSTALCODE
"Australian Collectors, Co.         ",6834.5,03 9520 4555     ,Melbourne      ,Victoria       ,Australia      ,3004        
Mini Gifts Distributors Ltd.       ,2541.6,4155551450       ,San Rafael     ,CA             ,USA            ,97562       
"Anna's Decorations, Ltd            ",2130.9,02 9936 8555     ,North Sydney   ,NSW            ,Australia      ,2060        
Corporate Gift Ideas Co.           ,1701.7,6505551386       ,San Francisco  ,CA             ,USA            ,            
"Anna's Decorations, Ltd            ",1694,02 9936 8555     ,North Sydney   ,NSW            ,Australia      ,2060        
Euro+ Shopping Channel             ,2913.5,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
La Rochelle Gifts                  ,935.2,40.67.8555       ,Nantes         ,               ,France         ,44000       
Rovelli Gifts                      ,3073.3,035-640555       ,Bergamo        ,               ,Italy          ,24100       
"Australian Collectors, Co.         ",2082.5,03 9520 4555     ,Melbourne      ,Victoria       ,Australia      ,3004        
Euro+ Shopping Channel             ,3394.2,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
Toys4GrownUps.com                  ,2559.6,6265557265       ,Pasadena       ,CA             ,USA            ,90003       
Technics Stores Inc.               ,1490.2,6505556809       ,Burlingame     ,CA             ,USA            ,94217       
Osaka Souveniers Co.               ,3844,+81 06 6342 5555 ,Osaka          ,Osaka          ,Japan          ,530-0003    
"Australian Collectors, Co.         ",4724.9,03 9520 4555     ,Melbourne      ,Victoria       ,Australia      ,3004        
"Royal Canadian Collectables, Ltd.  ",1824.7,(604) 555-4555   ,Tsawassen      ,BC             ,Canada         ,T2F 8M4     
The Sharp Gifts Warehouse          ,2668.7,4085553659       ,San Jose       ,CA             ,USA            ,94217       
Gift Depot Inc.                    ,2843.6,2035552570       ,Bridgewater    ,CT             ,USA            ,97562       
La Rochelle Gifts                  ,3163.7,40.67.8555       ,Nantes         ,               ,France         ,44000       
"Norway Gifts By Mail, Co.          ",2226.1,+47 2212 1555    ,Oslo           ,               ,Norway         ,N 0106      
"Clover Collections, Co.            ",2069.8,+353 1862 1555   ,Dublin         ,               ,Ireland        ,2           
Mini Classics                      ,2235.3,9145554562       ,White Plains   ,NY             ,USA            ,24067       
Diecast Classics Inc.              ,3116.4,2155551555       ,Allentown      ,PA             ,USA            ,70267       
Danish Wholesale Imports           ,4781.7,31 12 3555       ,Kobenhavn      ,               ,Denmark        ,1734        
"Tokyo Collectables, Ltd            ",2810.7,+81 3 3584 0555  ,Minato-ku      ,Tokyo          ,Japan          ,106-0032    
Gift Ideas Corp.                   ,3515.7,2035554407       ,Glendale       ,CT             ,USA            ,97561       
"Australian Gift Network, Co        ",2909.3,61-7-3844-6555   ,South Brisbane ,Queensland     ,Australia      ,4101        
Euro+ Shopping Channel             ,1570.2,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
Reims Collectables                 ,2613.9,26.47.1555       ,Reims          ,               ,France         ,51100       
Tekni Collectables Inc.            ,3193.3,2015559350       ,Newark         ,NJ             ,USA            ,94019       
L'ordine Souveniers                ,1482.6,0522-556555      ,Reggio Emilia  ,               ,Italy          ,42100       
Land of Toys Inc.                  ,2055.2,2125557818       ,NYC            ,NY             ,USA            ,10022       
"Australian Collectors, Co.         ",2674.9,03 9520 4555     ,Melbourne      ,Victoria       ,Australia      ,3004        
Lyon Souveniers                    ,1853.4,+33 1 46 62 7555 ,Paris          ,               ,France         ,75508       
Toys4GrownUps.com                  ,1490.1,6265557265       ,Pasadena       ,CA             ,USA            ,90003       
Corporate Gift Ideas Co.           ,2162.2,6505551386       ,San Francisco  ,CA             ,USA            ,            
Technics Stores Inc.               ,2814.3,6505556809       ,Burlingame     ,CA             ,USA            ,94217       
Daedalus Designs Imports           ,1605,20.16.1555       ,Lille          ,               ,France         ,59000       
Herkku Gifts                       ,2093.4,+47 2267 3215    ,Bergen         ,               ,Norway         ,N 5804      
Mini Wheels Co.                    ,1944.3,6505555787       ,San Francisco  ,CA             ,USA            ,            
Osaka Souveniers Co.               ,1986.8,+81 06 6342 5555 ,Osaka          ,Osaka          ,Japan          ,530-0003    
"Australian Collectors, Co.         ",1696,03 9520 4555     ,Melbourne      ,Victoria       ,Australia      ,3004        
Motor Mint Distributors Inc.       ,1281.6,2155559857       ,Philadelphia   ,PA             ,USA            ,71270       
Tekni Collectables Inc.            ,1774.2,2015559350       ,Newark         ,NJ             ,USA            ,94019       
Gift Depot Inc.                    ,1997.5,2035552570       ,Bridgewater    ,CT             ,USA            ,97562       
La Rochelle Gifts                  ,2353.2,40.67.8555       ,Nantes         ,               ,France         ,44000       
Marta's Replicas Co.               ,981.2,6175558555       ,Cambridge      ,MA             ,USA            ,51247       
Atelier graphique                  ,1550.7,40.32.2555       ,Nantes         ,               ,France         ,44000       
Mini Classics                      ,1771.1,9145554562       ,White Plains   ,NY             ,USA            ,24067       
Diecast Classics Inc.              ,2213.4,2155551555       ,Allentown      ,PA             ,USA            ,70267       
Land of Toys Inc.                  ,5266,2125557818       ,NYC            ,NY             ,USA            ,10022       
"Tokyo Collectables, Ltd            ",1864.8,+81 3 3584 0555  ,Minato-ku      ,Tokyo          ,Japan          ,106-0032    
Technics Stores Inc.               ,1142.4,6505556809       ,Burlingame     ,CA             ,USA            ,94217       
"Australian Gift Network, Co        ",1172.6,61-7-3844-6555   ,South Brisbane ,Queensland     ,Australia      ,4101        
Scandinavian Gift Ideas            ,6981,0695-34 6555     ,Br„cke         ,               ,Sweden         ,S-844 67    
Auto Canal+ Petit                  ,3064.6,(1) 47.55.6555   ,Paris          ,               ,France         ,75016       
Euro+ Shopping Channel             ,2202.5,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
"Blauer See Auto, Co.               ",3773.4,+49 69 66 90 2555,Frankfurt      ,               ,Germany        ,60528       
"AV Stores, Co.                     ",5074.4,(171) 555-1555   ,Manchester     ,               ,UK             ,EC2 5NT     
"Australian Collectors, Co.         ",6483.5,03 9520 4555     ,Melbourne      ,Victoria       ,Australia      ,3004        
Souveniers And Things Co.          ,7956.5,+61 2 9495 8555  ,Chatswood      ,NSW            ,Australia      ,2067        
Signal Collectibles Ltd.           ,4230.6,4155554312       ,Brisbane       ,CA             ,USA            ,94217       
Corporate Gift Ideas Co.           ,7209.1,6505551386       ,San Francisco  ,CA             ,USA            ,            
Rovelli Gifts                      ,3452.7,035-640555       ,Bergamo        ,               ,Italy          ,24100       
Mini Gifts Distributors Ltd.       ,3047.7,4155551450       ,San Rafael     ,CA             ,USA            ,97562       
"Australian Collectables, Ltd       ",3675.3,61-9-3844-6555   ,Glen Waverly   ,Victoria       ,Australia      ,3150        
Euro+ Shopping Channel             ,7492.4,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
"Corrida Auto Replicas, Ltd         ",9534.5,(91) 555 22 82   ,Madrid         ,               ,Spain          ,28023       
"Saveley & Henriot, Co.             ",5579,78.32.5555       ,Lyon           ,               ,France         ,69004       
Euro+ Shopping Channel             ,5950.3,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
Mini Caravy                        ,3726,88.60.1555       ,Strasbourg     ,               ,France         ,67000       
Amica Models & Co.                 ,4455,011-4988555      ,Torino         ,               ,Italy          ,10100       
Herkku Gifts                       ,8272.3,+47 2267 3215    ,Bergen         ,               ,Norway         ,N 5804      
Auto Associ‚s & Cie.               ,3577.6,30.59.8555       ,Versailles     ,               ,France         ,78000       
Mini Gifts Distributors Ltd.       ,3881.2,4155551450       ,San Rafael     ,CA             ,USA            ,97562       
Online Diecast Creations Co.       ,5797.4,6035558647       ,Nashua         ,NH             ,USA            ,62005       
"AV Stores, Co.                     ",1264.1,(171) 555-1555   ,Manchester     ,               ,UK             ,EC2 5NT     
"Australian Collectors, Co.         ",4815.3,03 9520 4555     ,Melbourne      ,Victoria       ,Australia      ,3004        
Lyon Souveniers                    ,4462.2,+33 1 46 62 7555 ,Paris          ,               ,France         ,75508       
Toys4GrownUps.com                  ,3033.3,6265557265       ,Pasadena       ,CA             ,USA            ,90003       
Euro+ Shopping Channel             ,990.8,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
Mini Gifts Distributors Ltd.       ,2030.9,4155551450       ,San Rafael     ,CA             ,USA            ,97562       
Mini Gifts Distributors Ltd.       ,5433.8,4155551450       ,San Rafael     ,CA             ,USA            ,97562       
Motor Mint Distributors Inc.       ,3157.4,2155559857       ,Philadelphia   ,PA             ,USA            ,71270       
Atelier graphique                  ,5161.2,40.32.2555       ,Nantes         ,               ,France         ,44000       
Reims Collectables                 ,4346.8,26.47.1555       ,Reims          ,               ,France         ,51100       
"Anna's Decorations, Ltd            ",3528.4,02 9936 8555     ,North Sydney   ,NSW            ,Australia      ,2060        
Heintze Collectables               ,3187.8,86 21 3555       ,?rhus          ,               ,Denmark        ,8200        
Gift Depot Inc.                    ,6023.2,2035552570       ,Bridgewater    ,CT             ,USA            ,97562       
Herkku Gifts                       ,3884.8,+47 2267 3215    ,Bergen         ,               ,Norway         ,N 5804      
Online Diecast Creations Co.       ,4965.8,6035558647       ,Nashua         ,NH             ,USA            ,62005       
Muscle Machine Inc                 ,4169.9,2125557413       ,NYC            ,NY             ,USA            ,10022       
Euro+ Shopping Channel             ,4910.4,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
Collectable Mini Designs Co.       ,3231.4,7605558146       ,San Diego      ,CA             ,USA            ,91217       
Mini Caravy                        ,6853.4,88.60.1555       ,Strasbourg     ,               ,France         ,67000       
"UK Collectables, Ltd.              ",5177,(171) 555-2282   ,Liverpool      ,               ,UK             ,WX1 6LT     
L'ordine Souveniers                ,2824.8,0522-556555      ,Reggio Emilia  ,               ,Italy          ,42100       
Signal Gift Stores                 ,4324.3,7025551838       ,Las Vegas      ,NV             ,USA            ,83030       
"Vida Sport, Ltd                    ",5053,0897-034555      ,GenŠve         ,               ,Switzerland    ,1203        
"Norway Gifts By Mail, Co.          ",3223.4,+47 2212 1555    ,Oslo           ,               ,Norway         ,N 0106      
Euro+ Shopping Channel             ,5278.7,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
FunGiftIdeas.com                   ,2851.2,5085552555       ,New Bedford    ,MA             ,USA            ,50553       
Motor Mint Distributors Inc.       ,1687.4,2155559857       ,Philadelphia   ,PA             ,USA            ,71270       
Reims Collectables                 ,1308,26.47.1555       ,Reims          ,               ,France         ,51100       
Royale Belge                       ,6144.6,(071) 23 67 2555 ,Charleroi      ,               ,Belgium        ,B-6000      
Euro+ Shopping Channel             ,5127.2,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
The Sharp Gifts Warehouse          ,6386.2,4085553659       ,San Jose       ,CA             ,USA            ,94217       
Salzburg Collectables              ,7695.6,6562-9555        ,Salzburg       ,               ,Austria        ,5020        
Baane Mini Imports                 ,2242.9,07-98 9555       ,Stavern        ,               ,Norway         ,4110        
"Volvo Model Replicas, Co           ",2539.9,0921-12 3555     ,Lule†          ,               ,Sweden         ,S-958 22    
"Corrida Auto Replicas, Ltd         ",2795.3,(91) 555 22 82   ,Madrid         ,               ,Spain          ,28023       
Souveniers And Things Co.          ,5545.8,+61 2 9495 8555  ,Chatswood      ,NSW            ,Australia      ,2067        
"Dragon Souveniers, Ltd.            ",4285.5,+65 221 7555     ,Singapore      ,               ,Singapore      ,079903      
Classic Legends Inc.               ,3329.1,2125558493       ,NYC            ,NY             ,USA            ,10022       
"Australian Gift Network, Co        ",5592.2,61-7-3844-6555   ,South Brisbane ,Queensland     ,Australia      ,4101        
"Classic Gift Ideas, Inc            ",3298.6,2155554695       ,Philadelphia   ,PA             ,USA            ,71270       
"Australian Collectables, Ltd       ",2609.9,61-9-3844-6555   ,Glen Waverly   ,Victoria       ,Australia      ,3150        
Canadian Gift Exchange Network     ,3336.3,(604) 555-3392   ,Vancouver      ,BC             ,Canada         ,V3F 2K1     
West Coast Collectables Co.        ,5510.1,3105553722       ,Burbank        ,CA             ,USA            ,94019       
Cambridge Collectables Co.         ,2504.4,6175555555       ,Cambridge      ,MA             ,USA            ,51247       
Euro+ Shopping Channel             ,3525.6,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
The Sharp Gifts Warehouse          ,4407,4085553659       ,San Jose       ,CA             ,USA            ,94217       
Souveniers And Things Co.          ,2983.4,+61 2 9495 8555  ,Chatswood      ,NSW            ,Australia      ,2067        
Amica Models & Co.                 ,5126.2,011-4988555      ,Torino         ,               ,Italy          ,10100       
Scandinavian Gift Ideas            ,5713.8,0695-34 6555     ,Br„cke         ,               ,Sweden         ,S-844 67    
Auto Associ‚s & Cie.               ,4613.8,30.59.8555       ,Versailles     ,               ,France         ,78000       
Mini Gifts Distributors Ltd.       ,3711.1,4155551450       ,San Rafael     ,CA             ,USA            ,97562       
Online Diecast Creations Co.       ,3524.7,6035558647       ,Nashua         ,NH             ,USA            ,62005       
Mini Wheels Co.                    ,2795.3,6505555787       ,San Francisco  ,CA             ,USA            ,            
"Australian Collectors, Co.         ",4814.4,03 9520 4555     ,Melbourne      ,Victoria       ,Australia      ,3004        
Mini Gifts Distributors Ltd.       ,3572.3,4155551450       ,San Rafael     ,CA             ,USA            ,97562       
Collectables For Less Inc.         ,4581.4,6175558555       ,Brickhaven     ,MA             ,USA            ,58339       
Corporate Gift Ideas Co.           ,4319.8,6505551386       ,San Francisco  ,CA             ,USA            ,            
"Anna's Decorations, Ltd            ",1448,02 9936 8555     ,North Sydney   ,NSW            ,Australia      ,2060        
Petit Auto                         ,881.4,(02) 5554 67     ,Bruxelles      ,               ,Belgium        ,B-1180      
Baane Mini Imports                 ,2011.1,07-98 9555       ,Stavern        ,               ,Norway         ,4110        
Mini Wheels Co.                    ,1801.2,6505555787       ,San Francisco  ,CA             ,USA            ,            
"Corrida Auto Replicas, Ltd         ",3390.2,(91) 555 22 82   ,Madrid         ,               ,Spain          ,28023       
Souveniers And Things Co.          ,1424,+61 2 9495 8555  ,Chatswood      ,NSW            ,Australia      ,2067        
"Dragon Souveniers, Ltd.            ",1499.1,+65 221 7555     ,Singapore      ,               ,Singapore      ,079903      
Classic Legends Inc.               ,3358.1,2125558493       ,NYC            ,NY             ,USA            ,10022       
Rovelli Gifts                      ,1504.2,035-640555       ,Bergamo        ,               ,Italy          ,24100       
"Classic Gift Ideas, Inc            ",2655.1,2155554695       ,Philadelphia   ,PA             ,USA            ,71270       
"Australian Collectables, Ltd       ",1244.2,61-9-3844-6555   ,Glen Waverly   ,Victoria       ,Australia      ,3150        
Canadian Gift Exchange Network     ,1888.9,(604) 555-3392   ,Vancouver      ,BC             ,Canada         ,V3F 2K1     
West Coast Collectables Co.        ,1820,3105553722       ,Burbank        ,CA             ,USA            ,94019       
Cambridge Collectables Co.         ,2866.9,6175555555       ,Cambridge      ,MA             ,USA            ,51247       
Euro+ Shopping Channel             ,1394.2,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
The Sharp Gifts Warehouse          ,2632.3,4085553659       ,San Jose       ,CA             ,USA            ,94217       
Salzburg Collectables              ,2018.6,6562-9555        ,Salzburg       ,               ,Austria        ,5020        
Amica Models & Co.                 ,2954.5,011-4988555      ,Torino         ,               ,Italy          ,10100       
Scandinavian Gift Ideas            ,1871.8,0695-34 6555     ,Br„cke         ,               ,Sweden         ,S-844 67    
Auto Associ‚s & Cie.               ,1559,30.59.8555       ,Versailles     ,               ,France         ,78000       
Mini Gifts Distributors Ltd.       ,1880.2,4155551450       ,San Rafael     ,CA             ,USA            ,97562       
Online Diecast Creations Co.       ,1224.7,6035558647       ,Nashua         ,NH             ,USA            ,62005       
"AV Stores, Co.                     ",2979.1,(171) 555-1555   ,Manchester     ,               ,UK             ,EC2 5NT     
"Australian Collectors, Co.         ",2208.6,03 9520 4555     ,Melbourne      ,Victoria       ,Australia      ,3004        
Mini Gifts Distributors Ltd.       ,3458.4,4155551450       ,San Rafael     ,CA             ,USA            ,97562       
Collectables For Less Inc.         ,1237.9,6175558555       ,Brickhaven     ,MA             ,USA            ,58339       
Corporate Gift Ideas Co.           ,2723.2,6505551386       ,San Francisco  ,CA             ,USA            ,            
Mini Auto Werke                    ,2218.5,7675-3555        ,Graz           ,               ,Austria        ,8010        
Petit Auto                         ,1665.3,(02) 5554 67     ,Bruxelles      ,               ,Belgium        ,B-1180      
Rovelli Gifts                      ,3421,035-640555       ,Bergamo        ,               ,Italy          ,24100       
Salzburg Collectables              ,1878.7,6562-9555        ,Salzburg       ,               ,Austria        ,5020        
Auto-Moto Classics Inc.            ,3853.6,6175558428       ,Brickhaven     ,MA             ,USA            ,58339       
Mini Creations Ltd.                ,3442.6,5085559555       ,New Bedford    ,MA             ,USA            ,50553       
"Toys of Finland, Co.               ",3482.2,90-224 8555      ,Helsinki       ,               ,Finland        ,21240       
Scandinavian Gift Ideas            ,3363.5,0695-34 6555     ,Br„cke         ,               ,Sweden         ,S-844 67    
Alpha Cognac                       ,3350.5,61.77.6555       ,Toulouse       ,               ,France         ,31000       
"Double Decker Gift Stores, Ltd     ",2862.7,(171) 555-7555   ,London         ,               ,UK             ,WA1 1DP     
Enaco Distributors                 ,4036,(93) 203 4555    ,Barcelona      ,               ,Spain          ,08022       
"Men 'R' US Retailers, Ltd.         ",2817.9,2155554369       ,Los Angeles    ,CA             ,USA            ,            
Collectable Mini Designs Co.       ,4636.4,7605558146       ,San Diego      ,CA             ,USA            ,91217       
Land of Toys Inc.                  ,1553.6,2125557818       ,NYC            ,NY             ,USA            ,10022       
Euro+ Shopping Channel             ,2697.6,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
Petit Auto                         ,3334,(02) 5554 67     ,Bruxelles      ,               ,Belgium        ,B-1180      
"Royal Canadian Collectables, Ltd.  ",2059.3,(604) 555-4555   ,Tsawassen      ,BC             ,Canada         ,T2F 8M4     
"Bavarian Collectables Imports, Co. ",2023.1,+49 89 61 08 9555,Munich         ,               ,Germany        ,80686       
"Classic Gift Ideas, Inc            ",2586.6,2155554695       ,Philadelphia   ,PA             ,USA            ,71270       
giftsbymail.co.uk                  ,1987,(198) 555-8888   ,Cowes          ,Isle of Wight  ,UK             ,PO31 7PJ    
Danish Wholesale Imports           ,1146.5,31 12 3555       ,Kobenhavn      ,               ,Denmark        ,1734        
Royale Belge                       ,2312.2,(071) 23 67 2555 ,Charleroi      ,               ,Belgium        ,B-6000      
Euro+ Shopping Channel             ,2793.7,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
"Oulu Toy Supplies, Inc.            ",1908.3,981-443655       ,Oulu           ,               ,Finland        ,90110       
Euro+ Shopping Channel             ,3441.4,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
Reims Collectables                 ,2023.3,26.47.1555       ,Reims          ,               ,France         ,51100       
The Sharp Gifts Warehouse          ,2245.2,4085553659       ,San Jose       ,CA             ,USA            ,94217       
Gifts4AllAges.com                  ,3255.1,6175559555       ,Boston         ,MA             ,USA            ,51003       
Baane Mini Imports                 ,2539.5,07-98 9555       ,Stavern        ,               ,Norway         ,4110        
Mini Wheels Co.                    ,4818.1,6505555787       ,San Francisco  ,CA             ,USA            ,            
"Corrida Auto Replicas, Ltd         ",2921.7,(91) 555 22 82   ,Madrid         ,               ,Spain          ,28023       
Souveniers And Things Co.          ,1801.2,+61 2 9495 8555  ,Chatswood      ,NSW            ,Australia      ,2067        
"Dragon Souveniers, Ltd.            ",2804.4,+65 221 7555     ,Singapore      ,               ,Singapore      ,079903      
Classic Legends Inc.               ,4900.8,2125558493       ,NYC            ,NY             ,USA            ,10022       
Rovelli Gifts                      ,2759.3,035-640555       ,Bergamo        ,               ,Italy          ,24100       
"Classic Gift Ideas, Inc            ",2488.2,2155554695       ,Philadelphia   ,PA             ,USA            ,71270       
"Australian Collectables, Ltd       ",2769.9,61-9-3844-6555   ,Glen Waverly   ,Victoria       ,Australia      ,3150        
Canadian Gift Exchange Network     ,3581.4,(604) 555-3392   ,Vancouver      ,BC             ,Canada         ,V3F 2K1     
West Coast Collectables Co.        ,5285.1,3105553722       ,Burbank        ,CA             ,USA            ,94019       
Cambridge Collectables Co.         ,3181.5,6175555555       ,Cambridge      ,MA             ,USA            ,51247       
Euro+ Shopping Channel             ,3340.5,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
The Sharp Gifts Warehouse          ,3138.3,4085553659       ,San Jose       ,CA             ,USA            ,94217       
Souveniers And Things Co.          ,4775.1,+61 2 9495 8555  ,Chatswood      ,NSW            ,Australia      ,2067        
Amica Models & Co.                 ,3006.4,011-4988555      ,Torino         ,               ,Italy          ,10100       
Scandinavian Gift Ideas            ,2866.3,0695-34 6555     ,Br„cke         ,               ,Sweden         ,S-844 67    
Auto Associ‚s & Cie.               ,2232.6,30.59.8555       ,Versailles     ,               ,France         ,78000       
Mini Gifts Distributors Ltd.       ,4457,4155551450       ,San Rafael     ,CA             ,USA            ,97562       
Online Diecast Creations Co.       ,2257.9,6035558647       ,Nashua         ,NH             ,USA            ,62005       
"AV Stores, Co.                     ",1592,(171) 555-1555   ,Manchester     ,               ,UK             ,EC2 5NT     
"Australian Collectors, Co.         ",4948.2,03 9520 4555     ,Melbourne      ,Victoria       ,Australia      ,3004        
Mini Gifts Distributors Ltd.       ,5160.8,4155551450       ,San Rafael     ,CA             ,USA            ,97562       
Collectables For Less Inc.         ,1978.6,6175558555       ,Brickhaven     ,MA             ,USA            ,58339       
Corporate Gift Ideas Co.           ,4288.2,6505551386       ,San Francisco  ,CA             ,USA            ,            
Mini Auto Werke                    ,2520.7,7675-3555        ,Graz           ,               ,Austria        ,8010        
Petit Auto                         ,1781.2,(02) 5554 67     ,Bruxelles      ,               ,Belgium        ,B-1180      
Danish Wholesale Imports           ,3065,31 12 3555       ,Kobenhavn      ,               ,Denmark        ,1734        
"Dragon Souveniers, Ltd.            ",3551.3,+65 221 7555     ,Singapore      ,               ,Singapore      ,079903      
Euro+ Shopping Channel             ,5544,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
Mini Gifts Distributors Ltd.       ,6034.3,4155551450       ,San Rafael     ,CA             ,USA            ,97562       
Euro+ Shopping Channel             ,3641.6,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
FunGiftIdeas.com                   ,6930.7,5085552555       ,New Bedford    ,MA             ,USA            ,50553       
CAF Imports                        ,3675.6,+34 913 728 555  ,Madrid         ,               ,Spain          ,28023       
Mini Creations Ltd.                ,3442,5085559555       ,New Bedford    ,MA             ,USA            ,50553       
Super Scale Inc.                   ,6893.8,2035559545       ,New Haven      ,CT             ,USA            ,97823       
"Saveley & Henriot, Co.             ",2622.5,78.32.5555       ,Lyon           ,               ,France         ,69004       
Petit Auto                         ,4417.4,(02) 5554 67     ,Bruxelles      ,               ,Belgium        ,B-1180      
giftsbymail.co.uk                  ,3606,(198) 555-8888   ,Cowes          ,Isle of Wight  ,UK             ,PO31 7PJ    
Land of Toys Inc.                  ,3802.6,2125557818       ,NYC            ,NY             ,USA            ,10022       
Petit Auto                         ,5026.4,(02) 5554 67     ,Bruxelles      ,               ,Belgium        ,B-1180      
Mini Gifts Distributors Ltd.       ,6695.5,4155551450       ,San Rafael     ,CA             ,USA            ,97562       
Amica Models & Co.                 ,2819.3,011-4988555      ,Torino         ,               ,Italy          ,10100       
"AV Stores, Co.                     ",3759,(171) 555-1555   ,Manchester     ,               ,UK             ,EC2 5NT     
Heintze Collectables               ,2731.8,86 21 3555       ,?rhus          ,               ,Denmark        ,8200        
Baane Mini Imports                 ,1658.9,07-98 9555       ,Stavern        ,               ,Norway         ,4110        
"La Corne D'abondance, Co.          ",5778.2,(1) 42.34.2555   ,Paris          ,               ,France         ,75012       
Euro+ Shopping Channel             ,5191.1,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
"Tokyo Collectables, Ltd            ",3862.9,+81 3 3584 0555  ,Minato-ku      ,Tokyo          ,Japan          ,106-0032    
Euro+ Shopping Channel             ,1476.5,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
Mini Gifts Distributors Ltd.       ,5273.7,4155551450       ,San Rafael     ,CA             ,USA            ,97562       
Gifts4AllAges.com                  ,4872,6175559555       ,Boston         ,MA             ,USA            ,51003       
Euro+ Shopping Channel             ,4557,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
Motor Mint Distributors Inc.       ,8257,2155559857       ,Philadelphia   ,PA             ,USA            ,71270       
"La Corne D'abondance, Co.          ",8209.4,(1) 42.34.2555   ,Paris          ,               ,France         ,75012       
Marseille Mini Autos               ,3598.5,91.24.4555       ,Marseille      ,               ,France         ,13008       
Muscle Machine Inc                 ,3837.2,2125557413       ,NYC            ,NY             ,USA            ,10022       
Alpha Cognac                       ,8331.6,61.77.6555       ,Toulouse       ,               ,France         ,31000       
Suominen Souveniers                ,4836.5,+358 9 8045 555  ,Espoo          ,               ,Finland        ,FIN-02271   
"Anna's Decorations, Ltd            ",5418.9,02 9936 8555     ,North Sydney   ,NSW            ,Australia      ,2060        
"Oulu Toy Supplies, Inc.            ",3734,981-443655       ,Oulu           ,               ,Finland        ,90110       
"Men 'R' US Retailers, Ltd.         ",3996.4,2155554369       ,Los Angeles    ,CA             ,USA            ,            
"Dragon Souveniers, Ltd.            ",8754.7,+65 221 7555     ,Singapore      ,               ,Singapore      ,079903      
Qu‚bec Home Shopping Network       ,5481.4,(514) 555-8054   ,Montr‚al       ,Qu‚bec         ,Canada         ,H1J 1C3     
"Stylish Desk Decors, Co.           ",4419.9,(171) 555-0297   ,London         ,               ,UK             ,WX3 6FW     
Herkku Gifts                       ,6324.8,+47 2267 3215    ,Bergen         ,               ,Norway         ,N 5804      
"Iberia Gift Imports, Corp.         ",4409.7,(95) 555 82 82   ,Sevilla        ,               ,Spain          ,41101       
Online Diecast Creations Co.       ,3918.5,6035558647       ,Nashua         ,NH             ,USA            ,62005       
Mini Classics                      ,7620.5,9145554562       ,White Plains   ,NY             ,USA            ,24067       
Euro+ Shopping Channel             ,8291,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
Diecast Collectables               ,3937.2,6175552555       ,Boston         ,MA             ,USA            ,51003       
Euro+ Shopping Channel             ,5554.4,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
"Vida Sport, Ltd                    ",6407.9,0897-034555      ,GenŠve         ,               ,Switzerland    ,1203        
Mini Gifts Distributors Ltd.       ,4172.5,4155551450       ,San Rafael     ,CA             ,USA            ,97562       
"Oulu Toy Supplies, Inc.            ",7083.4,981-443655       ,Oulu           ,               ,Finland        ,90110       
Euro+ Shopping Channel             ,7132.7,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
"UK Collectables, Ltd.              ",6773.6,(171) 555-2282   ,Liverpool      ,               ,UK             ,WX1 6LT     
Handji Gifts& Co                   ,3657.7,+65 224 1555     ,Singapore      ,               ,Singapore      ,069045      
L'ordine Souveniers                ,4812.6,0522-556555      ,Reggio Emilia  ,               ,Italy          ,42100       
Mini Gifts Distributors Ltd.       ,3928.6,4155551450       ,San Rafael     ,CA             ,USA            ,97562       
Signal Gift Stores                 ,6401.2,7025551838       ,Las Vegas      ,NV             ,USA            ,83030       
Diecast Classics Inc.              ,4191.2,2155551555       ,Allentown      ,PA             ,USA            ,70267       
"Vida Sport, Ltd                    ",5852.5,0897-034555      ,GenŠve         ,               ,Switzerland    ,1203        
Land of Toys Inc.                  ,2844.9,2125557818       ,NYC            ,NY             ,USA            ,10022       
"Norway Gifts By Mail, Co.          ",4011.7,+47 2212 1555    ,Oslo           ,               ,Norway         ,N 0106      
Marta's Replicas Co.               ,7455.9,6175558555       ,Cambridge      ,MA             ,USA            ,51247       
"Toms Spezialit„ten, Ltd            ",8941,0221-5554327     ,K”ln           ,               ,Germany        ,50739       
